TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
SNCI11;85,35;1,000000;14,06;96,83;0,88;657.679,10;5,51;0,56;8,08;406.667.722,01;35.422,00;;4.200.000,00
SNEL11;8,42;0,100000;14,23;8,04;1,05;3.956.910,23;7,40;;;889.954.690,47;94.207,00;;110.660.070,00
SNFF11;72,14;0,720000;13,67;87,86;0,82;302.913,09;0,56;2,11;6,18;353.254.644,11;25.965,00;;4.020.635,00
SNLG11;1,24;0,840000;0,00;2,03;0,61;0,00;144,80;;49,65;5.140.058,16;9.267,00;;2.529.966,00
SNME11;9,35;0,100000;15,40;9,58;0,98;126.349,14;15,42;;;71.074.274,25;7.379,00;;7.418.243,00
SOFF11;94,75;1,000000;0,00;102,48;0,92;17.141,11;0,00;;;188.049.492,05;309,00;;1.834.908,00
SOLR11;1.051,35;4,770765;0,00;921,41;1,14;;0,72;;;60.383.017,00;28,00;;65.533,00
SPAF11;0,00;7,127917;0,00;1.126,25;;;3,37;7,27;;12.692.824,60;1,00;;11.270,00
SPDE11;1.266,67;11,310000;9,73;1.550,73;0,82;;2,30;;;141.736.636,02;120,00;;91.400,00
SPGM11;13,36;;0,00;16,30;0,82;0,00;0,01;;;73.661.026,38;118,00;;4.518.848,00
SPMO11;120,00;0,430000;0,00;170,97;0,70;21.709,09;0,00;;;310.305.927,73;15,00;;1.814.984,00
SPTW11;36,72;0,450000;14,79;54,16;0,68;71.419,38;6,54;-0,37;10,83;97.383.859,83;16.892,00;;1.798.000,00
SPVJ11;0,00;0,145100;0,00;24,36;;;24,77;-38,85;;153.744.670,16;23,00;;6.312.090,00
SPXC11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
SPXG11;0,00;;0,00;9,78;;;3,88;;;7.544.959,97;61,00;;771.677,00
SPXL11;0,00;;0,00;8,89;;;100,83;;;39.090.233,15;28,00;;4.397.344,00
SPXS11;8,21;0,097000;14,85;9,44;0,87;344.025,76;0,00;-0,33;8,57;190.646.070,54;20.495,00;;20.189.040,00
SRVD11;3,00;0,200000;0,00;0,16;18,75;0,00;0,00;;-19,40;15.786.862,42;108,00;;96.286.020,00
STRX11;140,31;0,840000;7,70;153,25;0,92;141,00;1,14;4,58;;247.273.997,22;111,00;;1.613.559,00
SURE11;0,00;0,600000;0,00;10,77;;;32,96;;;115.503.936,72;1,00;;10.728.379,00
TBOF11;15,56;0,822740;0,00;63,81;0,24;;3,50;74,62;;118.155.565,38;8.102,00;;1.851.786,00
TCIN11;145,92;;0,00;42,99;3,39;277.248,00;0,00;;3,03;36.694.236,82;107,00;;853.454,00
TCPF11;39,53;1,310000;0,00;98,43;0,40;;6,15;;;29.265.153,44;48,00;;297.327,00
TELD11;0,00;;0,00;24,62;;;16,14;;;11.567.171,92;2,00;;469.760,00
TELF11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
TELM11;9,69;0,100000;16,88;10,04;0,97;5.029,19;1,91;;;31.142.220,83;289,00;;3.100.500,00
TEPP11;7,92;0,131000;14,16;9,64;0,82;1.596.151,05;6,42;6,63;11,28;478.378.282,93;42.550,00;;49.616.923,00
TFOF11;138,00;2,370000;0,00;63,81;2,16;;3,50;29,98;;118.155.565,38;8.102,00;;1.851.786,00
TGAR11;51,37;0,720000;20,80;109,71;0,46;8.913.302,71;0,52;-13,74;-14,37;2.585.569.548,55;141.772,00;;23.567.968,00
